2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Мортира, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Морторат, Г|Бродифакум Гранд, Г; Варат, Г; Варат, МБ; Варат, ТБ; Килмайс, ТБ; Клерат, Г;
Моспилан, РП|Агент, ВДГ; Альфа-Амиприд, РП; Газель, РП; Гринда, РП; Снейк, РП; 
Мохофф, МКЭ|--
Муравьин, Г|Землин, Г; Медветокс, Г; Почин, Г; 
Мурал, ВР|Адвокат, ВР; Альфа-Дикамба, ВРК; Витара, ВР; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Муссон, ВРК|Альфа-Серф, ВК; Биотлин, ВРК; Варрант, ВРК; Заман, ВРК; Зенит, ВРК; Зубр, ВРК; Имидабел, ВРК; Имидашанс, ВРК; Имидж, ВРК; Имидор Про, КС; Имидор, ВРК; Имиприд, ВРК; Искра Золотая, ВРК; Калаш, ВРК; Командор, ВРК; Контадор, ВРК; Конфибой, ВРК; Конфиделин, ВРК; Корадо, ВРК; Корадо, ВРК (old); Кортлис, ВРК; Ранголи-Имидоклоприд, ВРК; Танрек, ВРК; 
Мухоед, Г|Валлар, Г; Гризли, Г; Медвегон, Г; Террадокс, Г; 
Мэр, КС|Мистраль Топ, КС; 
Наномет, СП|Аккурат, ВДГ; Гренч, СП; Делегат, ВДГ; Зингер, СП; Ларен Мет Про, ВДГ; Ларен Про, ВДГ; Магнум, ВДГ; МетАлт, ВДГ; Метметил, ВДГ; Сарацин, ВДГ; Террамет, ВДГ; Хит, СП;
Наношанс, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Напалм, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Граунд, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Пилараунд, ВР; Рауль, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Напалм-480, ВР|Аристократ, ВР; Ранголи-Глифосат 480, ВР;
Нарвал, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Миледи, КС; Милена, КС; Никобел, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Нарис, СК|--
Неофрал, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Нерта, КС|Морион, СК;
Нертус ПланетаПег, Ж|--
Никобел, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Миледи, КС; Милена, КС; Нарвал, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Никос, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Миледи, КС; Милена, КС; Нарвал, КС; Никобел, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Ниссин Экстра, МД|--
Ниссин, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Миледи, КС; Милена, КС; Нарвал, КС; Никобел, КС; Никос, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Ниссоран, СК|--
Новосил, ВЭ|Альфастим, ВЭ; Биосил, ВЭ; 
Новус-Ф, КС|--
Номини Суприм, СЭ |--
Номини, СК|--
Нопас, ВЭ|--
Нопасаран Ультра, КС|--
НОПАСАРАН, КС|--
Норат, ТБ|Раттидион, Г; 
Нор-Би, СП|Беномил 500, СП; Беназол, СП; Бенорад, СП; Фундазол, СП;
Норвел, КЭ|Альфа Тигр, КЭ; Леопард, КЭ; Ранголи-Таргон-С, КЭ; 
НордСтрим, ВДГ|--
Норман, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Нуприд 600, КС|Витакс, КС; Имидасид, КС; Имидашанс-С, КС; Койот, Г; Койот, КС; Конрад, КС; Контадор Макси, КС; Пикус, КС; Серф-Экстра, ТКС; Сидоприд, ТС; Стрит, КС; Тореадор Макси, КС; Форсер Энто, КС; 
Нурбел, КЭ|Нуримет Экстра, КЭ; Ранголи-Норил, КЭ; Суперкилл, КЭ; Циклон, КЭ; Шаман, КЭ;
Нуримет Экстра, КЭ|Нурбел, КЭ; Ранголи-Норил, КЭ; Суперкилл, КЭ; Циклон, КЭ; Шаман, КЭ;
Ньюстар, КЭ|Таран, ВЭ; Фьюри, ВЭ;
НЭО, ВДГ|Вояж, ВДГ; ВЛ 77, Ж; Хорс, ВДГ;
ОбеpeгЪ, Р|--
Оберон Рапид, КС|--
Овен, КЭ|Допинг, КЭ; Феникс, КЭ;
Овсюген Супер, КЭ|--
Овсюген Экспресс, КЭ|--
Оксихом, ВДГ|Оксихом, СП; Протон Экстра, ВДГ; Протон, СП; Хлорошанс, СП; Хомоксил, ВДГ;
Оксихом, СП|Оксихом, ВДГ; Протон Экстра, ВДГ; Протон, СП; Хлорошанс, СП; Хомоксил, ВДГ;
Октава, МД|--
Октапон экстра, КЭ|--
Октапон-супер, КЭ|--
Октиген, КЭ|--
Олимп, ВДГ|Арбитр, СП; Арбитр АГ, СП; БитЛайт, КС; Караван, СП; Карамболь, СП; Кари-Макс, СП; Карибу С, ВДГ; Карибу, ВДГ; КариПро, ВДГ; Каришанс, ВДГ; Карнаби, ВДГ; Карриджу, ВДГ; Кондор, ВДГ; Малибу, ВДГ; Рандеву, ВДГ; Флуорон, ВДГ; Форинт, ВДГ; Фурон, ВДГ;
Омайт, ВЭ|--
Оперкот Акро, КС|Канонир Дуо, КС;
Оперкот, КЭ|Молния, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Оплот Трио, ВСК|--
Оплот, ВСК|--
Опричник, СЭ|Арбалет, СЭ; Дисулам, СЭ; Люгер, СЭ; Премьера, СЭ; Флорастар, СЭ; Камаро, СЭ; 
Оптимо, КЭ|Дэлит Про, КС;
Оптимум, ВРК|Адвокат, ВР; Альфа-Дикамба, ВРК; Витара, ВР; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Орбита Люкс, КЭ|--
Орбита, КЭ|К-Обиоль, КЭ;
Орвего, КС|--
Оргамика С, Ж|--
Оргамика Ф, Ж|--
Органза, КС|--
Ордан МЦ, СП|Моксимэйт, СП; Рапид Голд, СП; 
Ордан, СП|Бусидо, ВДГ; Бронэкс, СП; Купролюкс, СП; Курзат Р, СП;
Ореол, КЭ|ГалактАлт, КЭ; Галактион, КЭ; Галлон, КЭ; Галмет, КЭ; Галокситин, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Оризан, МСК|--
Орикс, КЭ|--
Орион, КЭ|ГалактАлт, КЭ; Галактион, КЭ; Галлон, КЭ; Галмет, КЭ; Галокситин, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Орлан, МК|--
Ортус, СК|--
Осирис, КЭ|--
Острог, МК|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Отличник, КЭ|Тарга Супер, КЭ; Таргет Супер, КЭ; Хантер, КЭ; 
Оцелот Плюс, КЭ |Авантикс Экстра, ЭМВ; Ирбис, ЭМВ; Тайгер, ЭМВ; Фабрис, ЭМВ; Феноксоп 7.5, ЭМВ; Фокстрот, ВЭ; Шансюген, ВЭ;
Оцелот, КЭ|Ирбис 100, КЭ (АГРус); Ирбис 100, КЭ (АГРУСХИМ); Скорпио Супер, КЭ; Тайгер 100, КЭ; Тигран, КЭ; Укротитель, КЭ; Феноксаган, КЭ; Феноксоп 100, КЭ; 
Паллас 45, МД |--
Пальмира, СЭ|Астэрикс, СЭ; Ламбада, СЭ; Подмарин, КЭ; Прима, СЭ; Примавера, СЭ; Пришанс, СЭ; ЭтилФло, СЭ;
Пантера, КЭ|Багира, КЭ; Лемур, КЭ; Хилер, МКЭ;
Панцирь, КС|Круйзер, КС; Кругозор, КС; Круйзер, КС (600 г/л);
Парадокс, ВРК|Глобал Плюс, ВК; Пульмакс, ВРК; Пульс-Стар, ВР; Пульсар Старт, ВРК; 
Партенокарпин-Био, Р|--
Парус, КЭ|Дурсбан, КЭ; Европир, КЭ; Сайрен, КЭК; Тайра, КЭ; Хлорпирифос, КЭ; 
Патрий, КЭ|Арриво, КЭ; Молния Экстра, КЭ; Циперус, КЭ; Ципи, КЭ; Циракс, КЭ; Цитокс, КЭ; Шарпей, МЭ; 
Патрон, ВДГ|Калибр Дуо, ВДГ; Калибр, ВДГ;
Пенитран, КЭ|Фист, КЭ; Гайтан, КЭ; Кобра, КЭ; Эстамп, КЭ;
Пеннкоцеб, СП|Дитан М-45, СП; Индофил М-45, СП; Манкоцеб, СП; Манфил, СП;
Пеон, КЭ|Агролекарь, КЭ; Прогноз, КЭ; Профи, КЭ; Профикс, КЭ; Скиф, КЭ; Тилт, КЭ; Тимус, КЭ; Атлант, КЭ; Пропи Плюс, КЭ; ПропиШанс, КЭ; Титан, КЭ; Чистофлор, КЭ;
Пергадо Зокс, ВДГ|--
Пергадо М, ВДГ|--
Пешка-С, серная насыпная шашка|--
ПивАм, ВРК|Виадук, ВК; Гольф, ВК; Длясои, ВК; Зета, ВРК; Пивот, ВК; Ранголи-Прадо, ВРК; Сапфир, ВРК; Серп, ВРК; Солист, ВРК; Тапир, ВК; Тапирошанс, ВРК;
Пивот, ВК|Виадук, ВК; Гольф, ВК; Длясои, ВК; Зета, ВРК; ПивАм, ВРК; Ранголи-Прадо, ВРК; Сапфир, ВРК; Серп, ВРК; Солист, ВРК; Тапир, ВК; Тапирошанс, ВРК;
